meaning,answer,characters
적절,適切:てきせつ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
적당,適当:てきとう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
최적,最適:さいてき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
쾌적,快適:かいてき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
물방울,滴:しずく,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
물방울,水滴:すいてき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
링거,点滴:てんてき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
뜯다,摘む:つむ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
지적,指摘:してき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
"경쟁상대, 원수",敵:かたき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
필적,匹敵:ひってき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
천적,天敵:てんてき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
멋지다,素敵だ:すてきだ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
바르다,正しい:ただしい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정답,正解:せいかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정사각형,正方形:せいほうけい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
수정,修正:しゅうせい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
부정,不正:ふせい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
개정,改正:かいせい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
공정,公正:こうせい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정확,正確:せいかく,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정월,正月:しょうがつ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정오,正午:しょうご,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정체,正体:しょうたい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정면,正面:しょうめん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정직,正直:しょうじき,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정치,政治:せいじ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
갖추어지다,整う:ととのう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정비,整備:せいび,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정리,整理:せいり,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
조정,調整:ちょうせい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
정수,整数:せいすう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
기준,目安:めやす,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
싸다,安い:やすい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
안정,安定:あんてい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
안전,安全:あんぜん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
안내,案内:あんない,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
의외로,案外:あんがい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
