meaning,answer,characters
훌륭하다,偉い:えらい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
위대,偉大:いだい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
다르다,違う:ちがう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
위반,違反:いはん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
"차이, 다름",相違:そうい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
시간이 길다,永い:ながい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
영원,永遠:えいえん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
영구,永久:えいきゅう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
헤엄치다,泳ぐ:およぐ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
수영,水泳:すいえい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
우연히 만나다,出会う:であう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
회원,会員:かいいん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
회계,会計:かいけい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
회합,会合:かいごう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
회장,会場:かいじょう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
학회,学会:がっかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
기회,機会:きかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
의회,議会:ぎかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
대회,大会:たいかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
교회,教会:きょうかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
집회,集会:しゅうかい,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
그림,絵:え,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
그림물감,絵の具:えのぐ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
"회화, 그림",絵画:かいが,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
"각각, 여러분",各々:おのおの,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
각자,各自:かくじ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
각지,各地:かくち,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
모습,格好:かっこう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
합격,合格:ごうかく,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
성격,性格:せいかく,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
경관,警官:けいかん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
개관,開館:かいかん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
여관,旅館:りょかん,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
"대롱, 관",管:くだ,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
관리,管理:かんり,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
고급,高級:こうきゅう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
초급,初級:しょきゅう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
들이마시다,吸う:すう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
흡수,吸収:きゅうしゅう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"
호흡,呼吸:こきゅう,"適,切,当,最,快,滴,水,点,摘,指,敵,匹,天,素,正,解,方,形,修,不,改,公,確,月,午,体,面,直,政,治,整,備,理,調,数,目,安,定,全,案,内,外,偉,大,違,反,相,永,遠,久,泳,出,会,員,計,合,場,学,機,議,教,集,絵,具,画,各,自,地,格,好,性,警,官,開,館,旅,管,高,級,初,吸,収,呼"